player_id, player_name                  , team_id
1, AJ Finch                     ,14
2, M Klinger                    ,14
3, TM Head                      ,14
4, MC Henriques                 ,14
5, AJ Turner                    ,14
6, JP Faulkner                  ,14
7, TD Paine                     ,14
8, PJ Cummins                   ,14
9, A Zampa                      ,14
10, B Stanlake                   ,14
11, AJ Tye                       ,14
12, N Dickwella                  ,4
13, WU Tharanga                  ,4
14, EMDY Munaweera               ,4
15, DAS Gunaratne                ,4
16, TAM Siriwardana              ,4
17, CK Kapugedera                ,4
18, S Prasanna                   ,4
19, JRMVB Sanjaya                ,4
20, SL Malinga                   ,4
21, KMDN Kulasekara              ,4
22, PADLR Sandakan               ,4
23, BR Dunk                      ,14
24, JA Richardson                ,14
25, BKG Mendis                   ,4
26, MD Shanaka                   ,4
27, Nizakat Khan                 ,54
28, Aizaz Khan                   ,54
29, Babar Hayat                  ,54
30, Anshuman Rath                ,54
31, Ehsan Khan                   ,54
32, Tanwir Afzal                 ,54
33, Shahid Wasif                 ,54
34, Tanveer Ahmed                ,54
35, Ehsan Nawaz                  ,54
36, Nadeem Ahmed                 ,54
37, C Carter                     ,54
38, WTS Porterfield              ,11
39, DA Rankin                    ,11
40, SP Terry                     ,11
41, JNK Shannon                  ,11
42, KJ O'Brien                   ,11
43, GJ Thompson                  ,11
44, AR McBrine                   ,11
45, L Tucker                     ,11
46, J Mulder                     ,11
47, J Little                     ,11
48, CA Young                     ,11
49, KL Rahul                     ,47
50, Mandeep Singh                ,47
51, AT Rayudu                    ,47
52, MK Pandey                    ,47
53, KM Jadhav                    ,47
54, MS Dhoni                     ,47
55, AR Patel                     ,47
56, R Dhawan                     ,47
57, JJ Bumrah                    ,47
58, JD Unadkat                   ,47
59, YS Chahal                    ,47
60, CJ Chibhabha                 ,82
61, H Masakadza                  ,82
62, R Mutumbami                  ,82
63, Sikandar Raza                ,82
64, MN Waller                    ,82
65, CT Mutombodzi                ,82
66, E Chigumbura                 ,82
67, AG Cremer                    ,82
68, N Madziva                    ,82
69, T Muzarabani                 ,82
70, DT Tiripano                  ,82
71, DS Kulkarni                  ,47
72, BB Sran                      ,47
73, PJ Moor                      ,82
74, V Sibanda                    ,82
75, T Maruma                     ,82
76, TL Chatara                   ,82
77, Tamim Iqbal                  ,66
78, Imrul Kayes                  ,66
79, Sabbir Rahman                ,66
80, Shakib Al Hasan              ,66
81, Soumya Sarkar                ,66
82, Mahmudullah                  ,66
83, Mosaddek Hossain             ,66
84, Mashrafe Mortaza             ,66
85, Nurul Hasan                  ,66
86, Rubel Hossain                ,66
87, Mustafizur Rahman            ,66
88, NT Broom                     ,24
89, KS Williamson                ,24
90, C Munro                      ,24
91, CJ Anderson                  ,24
92, TC Bruce                     ,24
93, C de Grandhomme              ,24
94, L Ronchi                     ,24
95, MJ Santner                   ,24
96, BM Wheeler                   ,24
97, MJ Henry                     ,24
98, LH Ferguson                  ,24
99, JDS Neesham                  ,24
100, IS Sodhi                     ,24
101, TA Boult                     ,24
102, Taskin Ahmed                 ,66
103, TA Blundell                  ,24
104, GD Phillips                  ,24
105, TG Southee                   ,24
106, HM Amla                      ,10
107, Q de Kock                    ,10
108, F du Plessis                 ,10
109, AB de Villiers               ,10
110, JP Duminy                    ,10
111, F Behardien                  ,10
112, CH Morris                    ,10
113, WD Parnell                   ,10
114, AL Phehlukwayo               ,10
115, Imran Tahir                  ,10
116, D Paterson                   ,10
117, JJ Roy                       ,64
118, AD Hales                     ,64
119, JM Bairstow                  ,64
120, EJG Morgan                   ,64
121, JC Buttler                   ,64
122, SW Billings                  ,64
123, LA Dawson                    ,64
124, MS Crane                     ,64
125, DJ Willey                    ,64
126, CJ Jordan                    ,64
127, MA Wood                      ,64
128, JT Smuts                     ,10
129, RR Hendricks                 ,10
130, DA Miller                    ,10
131, M Mosehle                    ,10
132, D Pretorius                  ,10
133, T Shamsi                     ,10
134, LS Livingstone               ,64
135, LE Plunkett                  ,64
136, TK Curran                    ,64
137, M Morkel                     ,10
138, DJ Malan                     ,64
139, CH Gayle                     ,28
140, E Lewis                      ,28
141, MN Samuels                   ,28
142, CAK Walton                   ,28
143, KA Pollard                   ,28
144, R Powell                     ,28
145, CR Brathwaite                ,28
146, SP Narine                    ,28
147, AR Nurse                     ,28
148, JE Taylor                    ,28
149, KOK Williams                 ,28
150, JE Root                      ,64
151, AU Rashid                    ,64
152, BA Stokes                    ,64
153, MM Ali                       ,64
154, TS Mills                     ,64
155, V Kohli                      ,47
156, SK Raina                     ,47
157, Yuvraj Singh                 ,47
158, HH Pandya                    ,47
159, Parvez Rasool                ,47
160, A Nehra                      ,47
161, A Mishra                     ,47
162, RR Pant                      ,47
163, RG Sharma                    ,47
164, AM Rahane                    ,47
165, STR Binny                    ,47
166, R Ashwin                     ,47
167, RA Jadeja                    ,47
168, Mohammed Shami               ,47
169, B Kumar                      ,47
170, J Charles                    ,28
171, AD Russell                   ,28
172, DJ Bravo                     ,28
173, LMP Simmons                  ,28
174, ADS Fletcher                 ,28
175, S Badree                     ,28
176, Sharjeel Khan                ,80
177, Khalid Latif                 ,80
178, Babar Azam                   ,80
179, Shoaib Malik                 ,80
180, Umar Akmal                   ,80
181, Sarfraz Ahmed                ,80
182, Mohammad Nawaz (3)           ,80
183, Imad Wasim                   ,80
184, Wahab Riaz                   ,80
